"x","y","objectid","stop_name","stop_lat","stop_lon","town","stop_code"
-8594422.8452,4728171.0877,126,"BEDFORDSHIRE AVE & COLEBROOK AVE",39.04536,-77.205014,"Potomac","20256"
-8594341.4706,4728258.9514,127,"BEDFORDSHIRE AVE & BARSTOW CT",39.045973,-77.204283,"Potomac","20260"
-8594458.5787,4728128.9477,128,"BEDFORDSHIRE AVE & COLEBROOK AVE",39.045066,-77.205335,"Potomac","20262"
-8594330.5613,4727606.37,129,"BEDFORDSHIRE AVE & WILDEN LA",39.04142,-77.204185,"Potomac","20264"
-8584328.3937,4723144.3446,130,"BEECH AVE & EDGELEY RD",39.010281,-77.114334,"Bethesda","20266"
-8584135.6997,4723261.9636,131,"BEECH AVE & FOREST RD",39.011102,-77.112603,"Bethesda","20268"
-8583926.5304,4723375.4293,132,"BEECH AVE & PAGE AVE",39.011894,-77.110724,"Bethesda","20270"
-8583686.3029,4723393.4807,133,"BEECH AVE & LINDEN AVE",39.01202,-77.108566,"Bethesda","20272"
-8583966.1601,4723365.9737,134,"BEECH AVE & PAGE AVE",39.011828,-77.11108,"Bethesda","20274"
-8584148.8354,4723270.2729,135,"BEECH AVE & FOREST RD",39.01116,-77.112721,"Bethesda","20276"
-8584299.6733,4723177.295,136,"BEECH AVE & OLD GEORGETOWN RD",39.010511,-77.114076,"Bethesda","20278"
-8580040.8122,4735092.2979,137,"BEL PRE RD & GRAND PRE RD",39.093631,-77.075818,"Aspen Hill","20280"
-8579743.0326,4735003.2273,138,"BEL PRE RD & DUNSINANE DR",39.09301,-77.073143,"Aspen Hill","20282"
-8579259.572,4734760.1162,139,"BEL PRE RD & PEARTREE LN",39.091315,-77.0688,"Aspen Hill","20284"
-8578963.3509,4734755.9568,140,"BEL PRE RD & WEEPING WILLOW DR",39.091286,-77.066139,"Aspen Hill","20286"
-8576705.7916,4734664.0207,141,"BEL PRE RD & LAYHILL RD",39.090645,-77.045859,"","20288"
-8576972.6244,4734659.0008,142,"BEL PRE RD & PLAZA DEL MERCADO",39.09061,-77.048256,"","20290"
-8577269.7362,4734648.5308,143,"BEL PRE RD & NORTH GATE DR",39.090537,-77.050925,"Aspen Hill","20292"
-8577525.437,4734640.6424,144,"BEL PRE RD & RIPPLING BROOK DR",39.090482,-77.053222,"Aspen Hill","20294"
-8578642.3055,4734783.7816,145,"BEL PRE RD & HOMECREST RD",39.09148,-77.063255,"Aspen Hill","20296"
-8578936.1889,4734781.6302,146,"BEL PRE RD & WEEPING WILLOW DR",39.091465,-77.065895,"Aspen Hill","20298"
-8582225.9025,4719489.0948,147,"BETHESDA STATION & BAY A",38.984762,-77.095447,"Bethesda","20300"
